createdAt,value
2022-08-23 19:55:05.609000+00:00,22.8
2022-08-23 20:55:00.175000+00:00,21.6
2022-08-23 21:55:00.173000+00:00,20.5
2022-08-23 22:55:00.182000+00:00,20.0
2022-08-23 23:55:00.178000+00:00,19.4
2022-08-24 00:55:00.166000+00:00,19.0
2022-08-24 01:55:00.168000+00:00,17.9
2022-08-24 02:55:00.182000+00:00,17.6
2022-08-24 03:55:00.189000+00:00,17.3
2022-08-24 04:55:00.176000+00:00,17.2
2022-08-24 05:55:00.246000+00:00,18.3
2022-08-24 06:55:00.195000+00:00,23.6
2022-08-24 07:55:00.192000+00:00,26.1
2022-08-24 08:55:00.307000+00:00,28.3
2022-08-24 09:55:00.198000+00:00,29.3
2022-08-24 10:55:00.224000+00:00,29.0
2022-08-24 11:55:00.267000+00:00,30.0
2022-08-24 12:55:00.199000+00:00,32.0
2022-08-24 13:55:00.166000+00:00,30.4
2022-08-24 14:55:00.176000+00:00,30.9
2022-08-24 15:55:00.182000+00:00,32.4
2022-08-24 16:55:00.212000+00:00,31.5
2022-08-24 17:55:00.177000+00:00,27.9
2022-08-24 18:55:00.199000+00:00,26.0
2022-08-24 19:55:00.174000+00:00,24.4
2022-08-24 20:55:00.169000+00:00,23.3
2022-08-24 21:55:00.216000+00:00,22.2
2022-08-24 22:55:00.239000+00:00,21.4
2022-08-24 23:55:20.334000+00:00,20.5
2022-08-25 00:55:05.777000+00:00,20.1
2022-08-25 01:55:00.199000+00:00,19.3
2022-08-25 02:55:00.223000+00:00,18.6
2022-08-25 03:55:00.223000+00:00,18.0
2022-08-25 04:55:00.194000+00:00,17.4
2022-08-25 05:55:00.171000+00:00,18.5
2022-08-25 06:55:00.186000+00:00,23.1
2022-08-25 07:55:00.205000+00:00,26.0
2022-08-25 08:50:00.220000+00:00,28.2
2022-08-25 17:55:00.185000+00:00,29.0
2022-08-25 18:55:00.186000+00:00,26.4
2022-08-25 19:55:00.187000+00:00,24.6
2022-08-25 20:55:00.177000+00:00,23.5
2022-08-25 21:55:00.182000+00:00,22.2
2022-08-25 22:55:00.162000+00:00,21.2
2022-08-25 23:55:00.153000+00:00,20.8
2022-08-26 00:55:00.148000+00:00,20.6
2022-08-26 01:55:00.175000+00:00,20.2
2022-08-26 02:55:00.186000+00:00,19.8
2022-08-26 03:55:00.184000+00:00,19.5
2022-08-26 04:55:00.205000+00:00,19.7
2022-08-26 05:55:00.179000+00:00,20.1
